Historical_N,Num_Stages,alpha,mu,bound,capacity,c_t,h_t,b_t,b_T,epsilon_N,Train_Average_Cost,Test_Average_Cost,Time,Date
25,10,0.25,200,20,260,0.1,0.02,0.2,2,3.981071705534973,230.154883796372,219.73996333151743,0.27808356285095215,2024-12-26 13:32:52
25,10,0.25,200,20,260,0.1,0.02,0.2,2,5.011872336272725,235.93591724986564,223.63890433805028,0.2758643627166748,2024-12-26 13:33:00
25,10,0.25,200,20,260,0.1,0.02,0.2,2,6.309573444801936,242.63884255242368,228.65232478997893,0.27716588973999023,2024-12-26 13:33:08
25,10,0.25,200,20,260,0.1,0.02,0.2,2,7.943282347242821,250.21022684138322,234.28606958036818,0.2762739658355713,2024-12-26 13:33:17
25,10,0.25,200,20,260,0.1,0.02,0.2,2,10.0,258.57857767429545,240.44200098571713,0.27483177185058594,2024-12-26 13:33:25
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.001,206.14184651280132,208.36617585634048,0.35303783416748047,2024-12-26 13:33:35
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.0012589254117941675,206.14348502266367,208.3655175039183,0.33328819274902344,2024-12-26 13:33:45
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.001584893192461114,206.14554779005246,208.3646898143587,0.3324446678161621,2024-12-26 13:33:55
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.001995262314968879,206.14814466934817,208.36364959312033,0.33292579650878906,2024-12-26 13:34:05
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.0025118864315095794,206.151413960967,208.36234268706784,0.35522890090942383,2024-12-26 13:34:15
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.0031622776601683794,206.15552977790048,208.36070172257087,0.33408689498901367,2024-12-26 13:34:25
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.003981071705534973,206.16071132030385,208.35864247740608,0.33232593536376953,2024-12-26 13:34:35
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.005011872336272725,206.16723455256744,208.3560587909338,0.3310668468475342,2024-12-26 13:34:45
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.00630957344480193,206.17544690554888,208.35282114265723,0.352189302444458,2024-12-26 13:34:55
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.007943282347242814,206.18578578823744,208.3487710600323,0.3285810947418213,2024-12-26 13:35:05
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.01,206.19880189760428,208.34371137271,0.3292269706726074,2024-12-26 13:35:15
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.012589254117941675,206.2151886059605,208.33740423987774,0.33022212982177734,2024-12-26 13:35:25
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.01584893192461114,206.23581886903568,208.329562575856,0.3516876697540283,2024-12-26 13:35:35
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.0199526231496888,206.2617917583198,208.31985017461434,0.33066344261169434,2024-12-26 13:35:45
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.025118864315095808,206.29449111842126,208.30787138258802,0.3301429748535156,2024-12-26 13:35:55
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.03162277660168379,206.33565947697267,208.293193662622,0.33319520950317383,2024-12-26 13:36:05
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.039810717055349734,206.38749106139431,208.2753422123224,0.35465145111083984,2024-12-26 13:36:15
