Historical_N,Num_Stages,alpha,mu,bound,capacity,c_t,h_t,b_t,b_T,epsilon_N,Train_Average_Cost,Test_Average_Cost,Time,Date
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.3981071705534973,208.87419475530322,208.02594939154275,0.33020520210266113,2024-12-26 00:47:06
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.5011872336272725,209.52894511093638,208.1496060604887,0.3329439163208008,2024-12-26 00:47:39
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.6309573444801936,210.3541094526153,208.3772218017808,0.3288693428039551,2024-12-26 00:48:12
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.7943282347242822,211.39434103682726,208.75583987484762,0.33215785026550293,2024-12-26 00:48:46
50,10,0.25,200,20,260,0.1,0.02,0.2,2,1.0,212.70582309232734,209.32229875003992,0.32879066467285156,2024-12-26 00:49:19
50,10,0.25,200,20,260,0.1,0.02,0.2,2,1.2589254117941675,214.35957083880075,210.1253139271702,0.3269648551940918,2024-12-26 00:49:52
50,10,0.25,200,20,260,0.1,0.02,0.2,2,1.584893192461114,216.44467386667316,211.2073926089831,0.3267347812652588,2024-12-26 00:50:25
50,10,0.25,200,20,260,0.1,0.02,0.2,2,1.9952623149688808,219.07259844123539,212.61948531132816,0.3284900188446045,2024-12-26 00:50:58
50,10,0.25,200,20,260,0.1,0.02,0.2,2,2.5118864315095824,222.37930365476493,214.44094508981433,0.3298003673553467,2024-12-26 00:51:32
50,10,0.25,200,20,260,0.1,0.02,0.2,2,3.1622776601683795,226.52156940272573,216.79527180035294,0.33214497566223145,2024-12-26 00:52:05
50,10,0.25,200,20,260,0.1,0.02,0.2,2,3.981071705534973,231.6437985678873,219.90082379819697,0.3372209072113037,2024-12-26 00:52:39
50,10,0.25,200,20,260,0.1,0.02,0.2,2,5.011872336272725,237.81327051015901,224.1484598219922,0.32866907119750977,2024-12-26 00:53:12
50,10,0.25,200,20,260,0.1,0.02,0.2,2,6.309573444801936,244.8447805228413,229.7633662048128,0.32718920707702637,2024-12-26 00:53:45
50,10,0.25,200,20,260,0.1,0.02,0.2,2,7.943282347242821,252.3967127512628,236.11702100461832,0.32494020462036133,2024-12-26 00:54:18
50,10,0.25,200,20,260,0.1,0.02,0.2,2,10.0,260.40710125726287,242.60050887179784,0.32254505157470703,2024-12-26 00:54:50
