Historical_N,Evaluation_N,Num_Retailers,f,h,c,b,epsilon_N,Train_Average_Cost,Test_Average_Cost,Date
200,10000,3,0,0.05,0.25,0.5,0.00223872113856834,19.260601380404243,21.604533304941032,2024-12-22 21:58:02
200,10000,3,0,0.05,0.25,0.5,0.0025118864315095794,19.261046857262357,21.600145943893885,2024-12-22 21:59:04
200,10000,3,0,0.05,0.25,0.5,0.002818382931264455,19.26222280158459,21.59501174686228,2024-12-22 22:00:06
200,10000,3,0,0.05,0.25,0.5,0.0031622776601683794,19.26343283840745,21.601012984841482,2024-12-22 22:01:09
200,10000,3,0,0.05,0.25,0.5,0.0035481338923357532,19.26515163492547,21.598351431515557,2024-12-22 22:02:10
200,10000,3,0,0.05,0.25,0.5,0.003981071705534973,19.266524554117204,21.595279678500766,2024-12-22 22:03:12
200,10000,3,0,0.05,0.25,0.5,0.0044668359215096305,19.26788725434277,21.59758903978122,2024-12-22 22:04:14
200,10000,3,0,0.05,0.25,0.5,0.005011872336272725,19.26938513932248,21.57717916418346,2024-12-22 22:05:16
200,10000,3,0,0.05,0.25,0.5,0.005623413251903491,19.272334944027218,21.575654942701654,2024-12-22 22:06:19
200,10000,3,0,0.05,0.25,0.5,0.00630957344480193,19.274757402069522,21.56840772849109,2024-12-22 22:07:21
200,10000,3,0,0.05,0.25,0.5,0.00707945784384138,19.277685017311054,21.564950193875326,2024-12-22 22:08:23
200,10000,3,0,0.05,0.25,0.5,0.007943282347242814,19.279803238651724,21.5506183340466,2024-12-22 22:09:25
200,10000,3,0,0.05,0.25,0.5,0.008912509381337459,19.28195186385973,21.561388437995003,2024-12-22 22:10:27
200,10000,3,0,0.05,0.25,0.5,0.01,19.28507898148467,21.542821674800663,2024-12-22 22:11:29
200,10000,3,0,0.05,0.25,0.5,0.011220184543019636,19.288960861137017,21.543197399002565,2024-12-22 22:12:32
200,10000,3,0,0.05,0.25,0.5,0.012589254117941675,19.292674750680423,21.52216558988716,2024-12-22 22:13:34
200,10000,3,0,0.05,0.25,0.5,0.014125375446227547,19.296425042162703,21.511430487475167,2024-12-22 22:14:36
200,10000,3,0,0.05,0.25,0.5,0.01584893192461114,19.300562798985833,21.499704745797235,2024-12-22 22:15:38
200,10000,3,0,0.05,0.25,0.5,0.01778279410038923,19.306720938362925,21.49769722731685,2024-12-22 22:16:40
200,10000,3,0,0.05,0.25,0.5,0.0199526231496888,19.314390733890146,21.483582352869547,2024-12-22 22:17:43
200,10000,3,0,0.05,0.25,0.5,0.0223872113856834,19.3220274492161,21.466457441034823,2024-12-22 22:18:46
200,10000,3,0,0.05,0.25,0.5,0.025118864315095808,19.330295188259562,21.452541597931507,2024-12-22 22:19:48
200,10000,3,0,0.05,0.25,0.5,0.02818382931264455,19.338466452812234,21.445869271908183,2024-12-22 22:20:51
200,10000,3,0,0.05,0.25,0.5,0.03162277660168379,19.34819324301101,21.41744997893404,2024-12-22 22:21:53
200,10000,3,0,0.05,0.25,0.5,0.03548133892335755,19.359027554613732,21.40087134846237,2024-12-22 22:22:56
200,10000,3,0,0.05,0.25,0.5,0.039810717055349734,19.369338073180316,21.392160461623906,2024-12-22 22:23:59
200,10000,3,0,0.05,0.25,0.5,0.04466835921509633,19.381547668525734,21.367527053432514,2024-12-22 22:25:02
200,10000,3,0,0.05,0.25,0.5,0.05011872336272725,19.397424082284097,21.330837399337874,2024-12-22 22:26:05
200,10000,3,0,0.05,0.25,0.5,0.05623413251903491,19.417224567489356,21.30210956351289,2024-12-22 22:27:08
200,10000,3,0,0.05,0.25,0.5,0.06309573444801933,19.437672838182323,21.27637596108444,2024-12-22 22:28:12
200,10000,3,0,0.05,0.25,0.5,0.0707945784384138,19.462198550390767,21.24864607584722,2024-12-22 22:29:15
200,10000,3,0,0.05,0.25,0.5,0.07943282347242818,19.491502196409243,21.195779438515522,2024-12-22 22:30:19
200,10000,3,0,0.05,0.25,0.5,0.08912509381337459,19.528442891972382,21.14985183054905,2024-12-22 22:31:23
200,10000,3,0,0.05,0.25,0.5,0.1,19.561568649205253,21.114745163893225,2024-12-22 22:32:27
200,10000,3,0,0.05,0.25,0.5,0.11220184543019641,19.60304383458687,21.066894905627123,2024-12-22 22:33:31
200,10000,3,0,0.05,0.25,0.5,0.12589254117941676,19.652661159119997,21.0352883448287,2024-12-22 22:34:35
200,10000,3,0,0.05,0.25,0.5,0.1412537544622754,19.704442675136892,20.99301179027564,2024-12-22 22:35:41
200,10000,3,0,0.05,0.25,0.5,0.15848931924611143,19.771206313052115,20.948120079857905,2024-12-22 22:36:46
200,10000,3,0,0.05,0.25,0.5,0.1778279410038923,19.8388494550174,20.899472126676315,2024-12-22 22:37:52
200,10000,3,0,0.05,0.25,0.5,0.19952623149688808,19.91854686093581,20.848782797546956,2024-12-22 22:38:58
200,10000,3,0,0.05,0.25,0.5,0.223872113856834,20.01480983485819,20.814189239654866,2024-12-22 22:40:05
200,10000,3,0,0.05,0.25,0.5,0.25118864315095824,20.130336090536296,20.780858306757025,2024-12-22 22:41:13
200,10000,3,0,0.05,0.25,0.5,0.2818382931264455,20.25607400275856,20.756314124497443,2024-12-22 22:42:22
200,10000,3,0,0.05,0.25,0.5,0.31622776601683794,20.400156660102297,20.737112845967744,2024-12-22 22:43:31
200,10000,3,0,0.05,0.25,0.5,0.3548133892335757,20.550867056739563,20.726176568525567,2024-12-22 22:44:41
200,10000,3,0,0.05,0.25,0.5,0.3981071705534973,20.724690524879605,20.71826322338711,2024-12-22 22:45:53
200,10000,3,0,0.05,0.25,0.5,0.4466835921509635,20.90598322440582,20.74165458404082,2024-12-22 22:47:07
200,10000,3,0,0.05,0.25,0.5,0.5011872336272725,21.100251736021647,20.76967949340298,2024-12-22 22:48:22
200,10000,3,0,0.05,0.25,0.5,0.5623413251903491,21.31750082597672,20.83988759952147,2024-12-22 22:49:39
200,10000,3,0,0.05,0.25,0.5,0.6309573444801936,21.53041432496063,20.925434088515843,2024-12-22 22:50:59
200,10000,3,0,0.05,0.25,0.5,0.707945784384138,21.743888704494935,21.01490347515132,2024-12-22 22:52:23
200,10000,3,0,0.05,0.25,0.5,0.7943282347242822,21.958859727310934,21.113741215526858,2024-12-22 22:53:52
200,10000,3,0,0.05,0.25,0.5,0.8912509381337459,22.17949700581507,21.20637543907093,2024-12-22 22:55:26
200,10000,3,0,0.05,0.25,0.5,1.0,22.411703244698284,21.302826591269714,2024-12-22 22:57:08
800,10000,3,0,0.05,0.25,0.5,0.001,19.263496420537614,21.012069566036747,2024-12-22 23:05:11
800,10000,3,0,0.05,0.25,0.5,0.001122018454301963,19.263854149228436,21.009852008539657,2024-12-22 23:13:14
800,10000,3,0,0.05,0.25,0.5,0.0012589254117941675,19.264184138207344,21.00577627446564,2024-12-22 23:21:18
800,10000,3,0,0.05,0.25,0.5,0.001412537544622754,19.264446440091152,21.012261167628367,2024-12-22 23:29:16
800,10000,3,0,0.05,0.25,0.5,0.001584893192461114,19.264783872385014,21.006907700754454,2024-12-22 23:37:09
800,10000,3,0,0.05,0.25,0.5,0.0017782794100389228,19.2653031439658,21.00475837424791,2024-12-22 23:45:01
800,10000,3,0,0.05,0.25,0.5,0.001995262314968879,19.265972695534884,21.004340574379643,2024-12-22 23:52:54
800,10000,3,0,0.05,0.25,0.5,0.00223872113856834,19.266582154275714,20.997450360733428,2024-12-23 00:00:47
800,10000,3,0,0.05,0.25,0.5,0.0025118864315095794,19.267280529301093,20.995845383319605,2024-12-23 00:08:42
800,10000,3,0,0.05,0.25,0.5,0.002818382931264455,19.26783711240812,20.998637109407984,2024-12-23 00:16:40
800,10000,3,0,0.05,0.25,0.5,0.0031622776601683794,19.26877023216102,20.99287573284151,2024-12-23 00:24:33
800,10000,3,0,0.05,0.25,0.5,0.0035481338923357532,19.26986655655533,20.986528895653077,2024-12-23 00:32:25
800,10000,3,0,0.05,0.25,0.5,0.003981071705534973,19.2709871841045,20.983332333626365,2024-12-23 00:40:17
800,10000,3,0,0.05,0.25,0.5,0.0044668359215096305,19.27220022996205,20.986389751935267,2024-12-23 00:48:12
800,10000,3,0,0.05,0.25,0.5,0.005011872336272725,19.273803542390436,20.981072801904983,2024-12-23 00:56:05
800,10000,3,0,0.05,0.25,0.5,0.005623413251903491,19.27516185413166,20.973801423764744,2024-12-23 01:03:58
800,10000,3,0,0.05,0.25,0.5,0.00630957344480193,19.277091029686616,20.96675582164499,2024-12-23 01:11:51
800,10000,3,0,0.05,0.25,0.5,0.00707945784384138,19.27920164205122,20.956460273011167,2024-12-23 01:19:43
800,10000,3,0,0.05,0.25,0.5,0.007943282347242814,19.281113467410037,20.954899754837683,2024-12-23 01:27:35
800,10000,3,0,0.05,0.25,0.5,0.008912509381337459,19.28312425039566,20.947602420923257,2024-12-23 01:35:26
800,10000,3,0,0.05,0.25,0.5,0.01,19.285905070915366,20.940665532749154,2024-12-23 01:43:20
800,10000,3,0,0.05,0.25,0.5,0.011220184543019636,19.28899561972824,20.93158637457166,2024-12-23 01:51:13
800,10000,3,0,0.05,0.25,0.5,0.012589254117941675,19.29244581005229,20.919439020867184,2024-12-23 01:59:07
800,10000,3,0,0.05,0.25,0.5,0.014125375446227547,19.296403455708287,20.907580718326468,2024-12-23 02:07:03
800,10000,3,0,0.05,0.25,0.5,0.01584893192461114,19.301233878111486,20.893003098485824,2024-12-23 02:14:59
800,10000,3,0,0.05,0.25,0.5,0.01778279410038923,19.306292197772567,20.88249817094718,2024-12-23 02:22:55
800,10000,3,0,0.05,0.25,0.5,0.0199526231496888,19.311427204140593,20.865495224306972,2024-12-23 02:30:51
800,10000,3,0,0.05,0.25,0.5,0.0223872113856834,19.317854081249585,20.846144432779855,2024-12-23 02:38:47
800,10000,3,0,0.05,0.25,0.5,0.025118864315095808,19.324670250853327,20.825677133898495,2024-12-23 02:46:44
800,10000,3,0,0.05,0.25,0.5,0.02818382931264455,19.33327382098255,20.81043271190724,2024-12-23 02:54:42
800,10000,3,0,0.05,0.25,0.5,0.03162277660168379,19.3427670255637,20.79083675231162,2024-12-23 03:02:39
800,10000,3,0,0.05,0.25,0.5,0.03548133892335755,19.35279656728385,20.771145597719332,2024-12-23 03:10:37
800,10000,3,0,0.05,0.25,0.5,0.039810717055349734,19.36443068378496,20.74767346232563,2024-12-23 03:18:36
800,10000,3,0,0.05,0.25,0.5,0.04466835921509633,19.378500519784303,20.717778386951082,2024-12-23 03:26:34
