Historical_N,omega,epsilon_N,Train_Cost,Test_Cost,Service_Level,Time
100,0.1,0.001,206.06948713666665,207.91908098000005,89.42043333333332,2.127710827233334
100,0.1,0.003162278,206.08315188999998,207.91248785333335,89.44970000000002,2.0920238097
100,0.1,0.01,206.1259776766666,207.89201711666666,89.53723333333333,2.0694675445666673
100,0.1,0.031622777,206.26253061333333,207.83137674333335,89.8005,2.0658558289333335
100,0.1,0.1,206.69455887666666,207.6760584733333,90.63263333333335,2.0171582222
100,0.1,0.316227766,208.00909524999997,207.48868159,92.93936666666667,1.8584285895000001
100,0.1,1.0,212.29126097333335,208.77061648000003,97.18686666666667,1.5856583833333333
100,0.1,3.16227766,226.19656163333335,216.2222638966667,99.5908,1.5724313893666666
100,0.1,10.0,260.8871470466667,242.65561046999997,99.44346666666667,1.8584098180333335
100,0.2,0.0,205.9577335733333,208.05167933999994,88.93650000000002,2.138388864133333
100,0.2,0.001,205.96416524666668,208.0482314633333,88.94966666666666,2.057112661966667
100,0.2,0.003162278,205.9778256333333,208.04119913999995,88.9772,2.0240798791333336
100,0.2,0.01,206.0208152633333,208.01938881666666,89.06830000000001,2.016941404366667
100,0.2,0.031622777,206.15163343000003,207.9539436,89.33266666666667,2.0054897864666668
100,0.2,0.1,206.5811872,207.78258889333333,90.19139999999999,1.9587346952
100,0.2,0.316227766,207.92490393,207.54604387666663,92.60426666666665,1.8427324374333331
100,0.2,1.0,212.15736767333334,208.72267310333336,97.08563333333333,1.5578913926666664
100,0.2,3.16227766,226.08678482,216.12035932666666,99.59719999999999,1.5655754725000002
100,0.2,10.0,260.8642165233333,242.84272741999996,99.4467,1.8129387060666666
100,0.3,0.0,205.87403136999998,208.17055014333334,88.4034,2.2142369429
100,0.3,0.001,205.88034735000002,208.16687670000005,88.41740000000001,2.1729523897666665
100,0.3,0.003162278,205.89400446333335,208.15897964333337,88.44656666666667,2.1448815743333336
100,0.3,0.01,205.93719423000002,208.1344728566667,88.5381,2.140734728166666
100,0.3,0.031622777,206.07326160999997,208.06264550666666,88.82420000000002,2.1242768605333335
100,0.3,0.1,206.49808455999997,207.86786054333334,89.67623333333333,2.0995602766333334
100,0.3,0.316227766,207.8612358933333,207.57700931000005,92.1953,2.015721821766667
100,0.3,1.0,212.03052270333333,208.64572969333338,96.86300000000003,1.5717350324000001
100,0.3,3.16227766,225.9556829466667,216.01274886666673,99.58736666666668,1.573760080333333
100,0.3,10.0,260.6181052133333,242.7765622,99.42373333333333,1.7214176097333334
100,0.4,0.0,205.85636194000003,208.35983593666666,87.9528,2.2276243606333335
100,0.4,0.001,205.8626802933333,208.3558743933333,87.96596666666667,2.1795096794333335
100,0.4,0.003162278,205.87634250999997,208.34734603666664,87.99463333333331,2.1513046265000004
100,0.4,0.01,205.91954813000004,208.32084785666666,88.0882,2.1499262174333333
100,0.4,0.031622777,206.05617187333337,208.24117409,88.37993333333333,2.136985659633333
100,0.4,0.1,206.48843179666665,208.0251711233333,89.27363333333332,2.1663171847333333
100,0.4,0.316227766,207.82624909333333,207.67652407000006,91.72913333333331,2.0166207789666672
100,0.4,1.0,211.94441568,208.58916017,96.60516666666668,1.5672095458333335
100,0.4,3.16227766,225.86634051000004,215.88733404666667,99.59286666666665,1.5628922143999995
100,0.4,10.0,260.5525079033333,243.3272446566667,99.42646666666668,1.6979014556333334
100,0.5,0.0,206.02500328333338,208.10855231,88.18226666666668,2.2754301866666666
100,0.5,0.001,206.03131607000003,208.10507612333336,88.19623333333334,2.213481187866667
100,0.5,0.003162278,206.04442933999997,208.09754419,88.22720000000001,2.1825944265000006
100,0.5,0.01,206.08753451666664,208.07406243333332,88.32183333333334,2.1865207195333336
100,0.5,0.031622777,206.2229693866667,208.00439190999998,88.61573333333332,2.2236418962666664
100,0.5,0.1,206.65394246666668,207.82019300000002,89.496,2.180945587133333
100,0.5,0.316227766,207.9226830033334,207.54622221333335,91.7443,1.9230219125999999
100,0.5,1.0,211.99566081333336,208.52478291000003,96.43589999999999,1.5477234363666668
100,0.5,3.16227766,225.90925774000002,215.8163836933333,99.55183333333333,1.5460550467333332
100,0.5,10.0,260.93855461333334,244.27728277000003,99.4626,1.5962252140666666
100,0.6,0.0,206.22691225333332,208.03070209000003,88.26666666666665,2.3285018603000003
100,0.6,0.001,206.23321728,208.02736107,88.28056666666664,2.2659982045333336
100,0.6,0.003162278,206.24683599666668,208.02017851,88.30919999999999,2.2274007558333335
100,0.6,0.01,206.28735862333335,207.99779735,88.39576666666666,2.231830144
100,0.6,0.031622777,206.42330240000004,207.93203445333336,88.70863333333334,2.2197404305666666
100,0.6,0.1,206.85448983999999,207.75598000000002,89.59963333333334,2.210334785766667
100,0.6,0.316227766,208.17423748333331,207.51397147333333,91.95093333333331,1.9854080915666663
100,0.6,1.0,212.08123853666672,208.52164651,96.24946666666665,1.5217325131333332
100,0.6,3.16227766,225.96451301,215.74760057333333,99.51713333333332,1.5197368144333332
100,0.6,10.0,261.44904907333336,245.45425717666663,99.50583333333334,1.5147538662666666
100,0.7,0.0,206.11967132,208.01139118333336,88.00236666666665,2.286938023566667
100,0.7,0.001,206.12595378666668,208.00808482666665,88.01523333333331,2.1810241540666664
100,0.7,0.003162278,206.13953839666667,208.0009705566667,88.04433333333333,2.1526586373333334
100,0.7,0.01,206.1824986166667,207.97880124999998,88.13390000000001,2.152225899666667
100,0.7,0.031622777,206.31846987000003,207.9122161466667,88.43216666666666,2.169826293033333
100,0.7,0.1,206.7532577,207.73854366333327,89.3252,2.1683707237333336
100,0.7,0.316227766,208.08625776666673,207.4916426766667,91.75043333333333,2.033213599533333
100,0.7,1.0,211.9788847766667,208.47826918666664,95.94946666666665,1.4846254746333338
100,0.7,3.16227766,225.80996805333334,215.66208960333333,99.39460000000001,1.4809383948666661
100,0.7,10.0,262.99606220333334,246.85426360000002,99.64023333333336,1.4676146825666667
100,0.8,0.0,206.2569239866666,210.08200800000003,85.71796666666665,2.1762834150333332
100,0.8,0.001,206.26319542333331,210.0766907566667,85.73113333333332,2.1010297616666667
100,0.8,0.003162278,206.27675623333332,210.06521304666663,85.76136666666666,2.074106605866666
