Historical_N,omega,epsilon_N,simulation_id,n_estimators,max_depth,Pred_MSE,Train_Cost,Test_Cost,Service_Level,Time
25,0.0,0.003162278,3,100,15,0.0,202.7355273,212.0997781,82.55,0.278368711
25,0.0,0.003162278,4,20,5,0.0,208.4652449,207.8347305,93.216,0.279214621
25,0.0,0.003162278,5,10,5,0.0,204.677757,209.8164682,83.872,0.279088736
25,0.0,0.003162278,6,100,15,0.0,207.2519187,211.3542056,89.153,0.278894663
25,0.0,0.003162278,7,50,5,0.0,203.0163168,211.0577524,82.269,0.278968811
25,0.0,0.003162278,8,40,5,0.0,207.9054772,210.5002823,90.648,0.279187202
25,0.0,0.003162278,9,50,5,0.0,205.5393852,208.0125748,87.659,0.278363466
25,0.0,0.003162278,10,50,5,0.0,207.3543929,208.9146033,90.678,0.281762362
25,0.0,0.003162278,11,100,10,0.0,204.263441,213.5106261,82.146,0.280008554
25,0.0,0.003162278,12,50,15,0.0,205.2720843,209.9090348,88.416,0.277824402
25,0.0,0.003162278,13,50,15,0.0,204.3025125,211.8624845,84.435,0.278691292
25,0.0,0.003162278,14,20,5,0.0,205.056191,210.2706087,85.11,0.279299974
25,0.0,0.003162278,15,50,10,0.0,209.1385454,208.1851264,90.771,0.2775352
25,0.0,0.003162278,16,150,5,0.0,206.8972784,208.4725682,89.342,0.278795719
25,0.0,0.003162278,17,10,5,0.0,204.3731108,209.8389721,84.126,0.276421785
25,0.0,0.003162278,18,150,10,0.0,203.7693822,213.92281,83.61,0.27785778
25,0.0,0.003162278,19,50,5,0.0,204.1522965,209.3026155,82.51,0.277487755
25,0.0,0.003162278,20,150,5,0.0,205.0847365,209.0955146,87.793,0.278003454
25,0.0,0.003162278,21,150,15,0.0,203.0042538,210.9640975,82.39,0.276941538
25,0.0,0.003162278,22,150,10,0.0,204.4771953,208.2163492,86.133,0.276041031
25,0.0,0.003162278,23,40,5,0.0,204.5113381,210.7247357,85.545,0.276491404
