Historical_N,Num_Stages,alpha,mu,bound,capacity,c_t,h_t,b_t,b_T,epsilon_N,Train_Average_Cost,Test_Average_Cost,Date
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.15848931924611143,206.2644841590454,210.0813491063869,2024-12-21 15:22:02
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.19952623149688808,206.8319742162548,210.208324263137,2024-12-21 15:22:39
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.25118864315095824,206.62455955595678,210.18380951554676,2024-12-21 15:23:16
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.31622776601683794,207.0537562538257,210.0882302865302,2024-12-21 15:23:52
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.3981071705534973,207.03428990948666,209.99645519940339,2024-12-21 15:24:29
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.5011872336272725,207.4638824165985,210.16887757995292,2024-12-21 15:25:06
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.6309573444801936,207.8992273077921,209.76067495930215,2024-12-21 15:25:42
25,10,0.25,200,20,260,0.1,0.02,0.2,2,0.7943282347242822,208.66566178273305,210.01335400780926,2024-12-21 15:26:19
25,10,0.25,200,20,260,0.1,0.02,0.2,2,1.0,209.3944016684634,209.6561372221744,2024-12-21 15:26:56
25,10,0.25,200,20,260,0.1,0.02,0.2,2,1.2589254117941675,210.20372313564837,210.03011243356087,2024-12-21 15:27:33
25,10,0.25,200,20,260,0.1,0.02,0.2,2,1.584893192461114,210.79875307715147,210.11045568843616,2024-12-21 15:28:10
25,10,0.25,200,20,260,0.1,0.02,0.2,2,1.9952623149688808,212.14994405195466,210.19019228345888,2024-12-21 15:28:47
25,10,0.25,200,20,260,0.1,0.02,0.2,2,2.5118864315095824,213.71868977416514,209.6507143001672,2024-12-21 15:29:23
25,10,0.25,200,20,260,0.1,0.02,0.2,2,3.1622776601683795,215.64557302400522,209.61576622389376,2024-12-21 15:30:00
25,10,0.25,200,20,260,0.1,0.02,0.2,2,3.981071705534973,217.8723344215776,209.80542054665023,2024-12-21 15:30:37
25,10,0.25,200,20,260,0.1,0.02,0.2,2,5.011872336272725,221.06782915068322,209.3701167232083,2024-12-21 15:31:14
25,10,0.25,200,20,260,0.1,0.02,0.2,2,6.309573444801936,224.9579397171469,209.68523189924286,2024-12-21 15:31:50
25,10,0.25,200,20,260,0.1,0.02,0.2,2,7.943282347242821,229.5360490573438,210.74134669565836,2024-12-21 15:32:27
25,10,0.25,200,20,260,0.1,0.02,0.2,2,10.0,236.1381653775818,209.3942126569525,2024-12-21 15:33:04
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.001,206.75885256660365,208.4110812497465,2024-12-21 15:33:56
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.0012589254117941675,206.6083330562686,208.22657334576022,2024-12-21 15:34:49
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.001584893192461114,206.45505303771165,208.3275949282698,2024-12-21 15:35:41
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.001995262314968879,206.58597371401618,208.1617582893924,2024-12-21 15:36:34
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.0025118864315095794,206.60553787437354,208.0257359338426,2024-12-21 15:37:26
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.0031622776601683794,206.66625824929824,208.11746910938615,2024-12-21 15:38:18
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.003981071705534973,206.6199215639786,208.37260324775548,2024-12-21 15:39:11
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.005011872336272725,206.73191676616946,208.26837612479878,2024-12-21 15:40:03
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.00630957344480193,206.73638761009911,208.25593156393626,2024-12-21 15:40:56
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.007943282347242814,206.81720297539462,208.32715076241715,2024-12-21 15:41:48
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.01,206.79869296021587,208.4786044295869,2024-12-21 15:42:40
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.012589254117941675,206.657101626713,208.1892299881815,2024-12-21 15:43:33
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.01584893192461114,206.58238210857712,208.38385924308815,2024-12-21 15:44:25
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.0199526231496888,206.79583381195556,208.30861469470986,2024-12-21 15:45:18
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.025118864315095808,206.65489043541075,208.28974923736408,2024-12-21 15:46:10
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.03162277660168379,206.79444985378046,208.01562057117437,2024-12-21 15:47:03
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.039810717055349734,206.97110176470008,208.23184927410958,2024-12-21 15:47:55
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.05011872336272725,206.8175186081822,208.19790085180048,2024-12-21 15:48:48
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.06309573444801933,206.94043456276955,208.18134898214743,2024-12-21 15:49:40
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.07943282347242818,206.84895960085342,208.21674675380984,2024-12-21 15:50:32
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.1,207.018620234635,208.24340070232947,2024-12-21 15:51:25
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.12589254117941676,206.9749665060786,208.29819766151616,2024-12-21 15:52:18
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.15848931924611143,207.0129875238899,208.2193362710392,2024-12-21 15:53:10
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.19952623149688808,207.34602420064618,208.07595720767958,2024-12-21 15:54:02
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.25118864315095824,207.17377181748662,208.2905014097564,2024-12-21 15:54:55
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.31622776601683794,207.86294575621957,208.14938311600025,2024-12-21 15:55:47
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.3981071705534973,207.91990445540975,208.08659360907367,2024-12-21 15:56:40
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.5011872336272725,208.32140090500903,208.03398602829304,2024-12-21 15:57:32
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.6309573444801936,208.51326482183723,208.19446724377963,2024-12-21 15:58:24
50,10,0.25,200,20,260,0.1,0.02,0.2,2,0.7943282347242822,209.09244404971244,208.19389972364766,2024-12-21 15:59:17
50,10,0.25,200,20,260,0.1,0.02,0.2,2,1.0,209.73512373897637,208.2143614495017,2024-12-21 16:00:09
50,10,0.25,200,20,260,0.1,0.02,0.2,2,1.2589254117941675,210.4589695087191,208.19385298452468,2024-12-21 16:01:02
50,10,0.25,200,20,260,0.1,0.02,0.2,2,1.584893192461114,211.5069094032867,208.23971552446307,2024-12-21 16:01:54
50,10,0.25,200,20,260,0.1,0.02,0.2,2,1.9952623149688808,212.7724251605858,208.460183937084,2024-12-21 16:02:46
50,10,0.25,200,20,260,0.1,0.02,0.2,2,2.5118864315095824,214.25628839516241,208.1592135941263,2024-12-21 16:03:39
50,10,0.25,200,20,260,0.1,0.02,0.2,2,3.1622776601683795,216.18708386893738,208.22934420015892,2024-12-21 16:04:31
50,10,0.25,200,20,260,0.1,0.02,0.2,2,3.981071705534973,218.81336087248638,208.1368834435316,2024-12-21 16:05:24
50,10,0.25,200,20,260,0.1,0.02,0.2,2,5.011872336272725,221.697178474338,208.05295970070605,2024-12-21 16:06:16
50,10,0.25,200,20,260,0.1,0.02,0.2,2,6.309573444801936,225.6435890568521,208.3732139849687,2024-12-21 16:07:08
50,10,0.25,200,20,260,0.1,0.02,0.2,2,7.943282347242821,230.5070397876674,208.46068219183576,2024-12-21 16:08:01
50,10,0.25,200,20,260,0.1,0.02,0.2,2,10.0,236.72890581580657,208.44274176264364,2024-12-21 16:08:53
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.001,207.05739882825233,207.6750647757446,2024-12-21 16:10:20
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.0012589254117941675,206.8435830073255,207.72605550839273,2024-12-21 16:11:47
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.001584893192461114,206.92288986097898,207.60715456773025,2024-12-21 16:13:14
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.001995262314968879,207.00788393474514,207.55361329959683,2024-12-21 16:14:40
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.0025118864315095794,206.9858116109863,207.64725375853644,2024-12-21 16:16:07
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.0031622776601683794,207.04884999864197,207.76017798174516,2024-12-21 16:17:33
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.003981071705534973,206.93878042354714,207.54203335285584,2024-12-21 16:19:00
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.005011872336272725,207.06283295536798,207.5538944125315,2024-12-21 16:20:26
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.00630957344480193,207.03213117649102,207.5654235262235,2024-12-21 16:21:52
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.007943282347242814,207.19141768701516,207.6497411155143,2024-12-21 16:23:19
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.01,206.96993011810892,207.67630247923003,2024-12-21 16:24:46
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.012589254117941675,207.04879865676347,207.67860170416924,2024-12-21 16:26:12
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.01584893192461114,207.08055209442642,207.5874310210381,2024-12-21 16:27:38
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.0199526231496888,207.05521577155764,207.52731995157473,2024-12-21 16:29:05
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.025118864315095808,207.20050698718595,207.65829330506406,2024-12-21 16:30:31
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.03162277660168379,207.21014193681643,207.6107720009291,2024-12-21 16:31:57
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.039810717055349734,207.22388761769798,207.5202765856001,2024-12-21 16:33:23
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.05011872336272725,207.128123827942,207.60431006811368,2024-12-21 16:34:50
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.06309573444801933,207.1357182878242,207.56612110624508,2024-12-21 16:36:16
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.07943282347242818,207.1640277758866,207.51073843136393,2024-12-21 16:37:43
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.1,207.35575891045107,207.83422870349182,2024-12-21 16:39:09
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.12589254117941676,207.3892950735566,207.6785738204792,2024-12-21 16:40:35
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.15848931924611143,207.3653329305006,207.80862444696203,2024-12-21 16:42:02
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.19952623149688808,207.57391457495646,207.8231613629142,2024-12-21 16:43:27
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.25118864315095824,207.77741598681604,207.59779002049504,2024-12-21 16:44:53
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.31622776601683794,207.88351958643213,207.55418325185167,2024-12-21 16:46:19
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.3981071705534973,208.17152013936803,207.72758096057206,2024-12-21 16:47:45
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.5011872336272725,208.36312734406928,207.58703009047315,2024-12-21 16:49:11
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.6309573444801936,208.96018319143465,207.64652810676273,2024-12-21 16:50:37
100,10,0.25,200,20,260,0.1,0.02,0.2,2,0.7943282347242822,209.40433158508364,207.5732095763295,2024-12-21 16:52:02
100,10,0.25,200,20,260,0.1,0.02,0.2,2,1.0,209.99720462442542,207.46183935491206,2024-12-21 16:53:28
100,10,0.25,200,20,260,0.1,0.02,0.2,2,1.2589254117941675,210.80601030620036,207.78508493115606,2024-12-21 16:54:53
100,10,0.25,200,20,260,0.1,0.02,0.2,2,1.584893192461114,211.83998029266874,207.66043130807796,2024-12-21 16:56:18
100,10,0.25,200,20,260,0.1,0.02,0.2,2,1.9952623149688808,212.97499950452533,207.50049439961808,2024-12-21 16:57:44
100,10,0.25,200,20,260,0.1,0.02,0.2,2,2.5118864315095824,214.59492762065474,207.57599281519512,2024-12-21 16:59:09
100,10,0.25,200,20,260,0.1,0.02,0.2,2,3.1622776601683795,216.54843196363737,207.60822854167978,2024-12-21 17:00:34
100,10,0.25,200,20,260,0.1,0.02,0.2,2,3.981071705534973,218.85803891952372,207.6689766755793,2024-12-21 17:01:58
100,10,0.25,200,20,260,0.1,0.02,0.2,2,5.011872336272725,222.06290425108543,207.72911037344457,2024-12-21 17:03:23
100,10,0.25,200,20,260,0.1,0.02,0.2,2,6.309573444801936,225.9762923819143,207.8893312121802,2024-12-21 17:04:48
100,10,0.25,200,20,260,0.1,0.02,0.2,2,7.943282347242821,230.93841787778024,207.98144338478443,2024-12-21 17:06:13
100,10,0.25,200,20,260,0.1,0.02,0.2,2,10.0,237.16373411022778,208.10707174795058,2024-12-21 17:07:38
