Historical_N,epsilon_N,Original_Train,Original_Test,Hybrid_Train,Hybrid_Test,Original_Service_level,Hybrid_Service_level,Original_Time,Hybrid_Time
25,0.1258925411794167,206.1480139397255,209.90645360340292,205.57324772146745,210.2673546368699,87.52936666666668,86.93280000000001,0.277301295598348,0.6990700006484986
25,0.1584893192461114,206.35493466469427,209.77747579582487,205.77623465779183,210.0830588308133,87.90990000000001,87.36213333333333,0.2772776365280151,0.6974915742874146
25,0.199526231496888,206.6154577533151,209.6382376157579,206.03048683195323,209.8675350065999,88.38476666666669,87.87573333333332,0.2773335377375285,0.6864826122919718
25,0.2511886431509582,206.9434928506968,209.48279029780105,206.35932182983828,209.62475633150743,88.97526666666666,88.49250000000002,0.2774867534637451,0.6888975540796916
25,0.3162277660168379,207.35656141907967,209.30981560734423,206.76596243317587,209.36861304688125,89.64853333333332,89.24256666666663,0.2774877230326334,0.6788197596867879
25,0.3981071705534973,207.87684829714576,209.135414295689,207.27709962895085,209.1034328757527,90.4822,90.12343333333337,0.2776217063268025,0.6619678099950155
25,0.5011872336272725,208.5324351958724,209.0072974900068,207.9087182154652,208.86618923615023,91.42169999999996,91.17646666666668,0.2778486887613932,0.6504609664281209
25,0.6309573444801936,209.35836384235893,208.95668228338383,208.71630420611447,208.6932459790497,92.51516666666666,92.3792,0.2777971903483073,0.63961128393809
25,0.7943282347242822,210.3988201349125,209.0595248292144,209.7370110310805,208.6538028015942,93.67943333333332,93.66346666666666,0.2783092498779297,0.6179752111434936
25,1.0,211.70910463900967,209.3759475456453,211.02847168197903,208.82943344844475,94.8504,95.01563333333333,0.2780257701873779,0.5905650615692138
25,1.2589254117941675,213.3577020885263,209.96942943913388,212.67393778937952,209.3187984138657,95.92450000000002,96.3095,0.2784395933151245,0.5865099906921387
25,1.584893192461114,215.4310277434183,210.8591069944029,214.5836699924824,210.20846238798453,96.92316666666666,96.81813333333334,0.2785982131958008,0.5766871611277262
25,1.9952623149688808,218.0324124304434,212.20817469227396,217.16768542912504,211.38544413864628,97.6464,97.9979,0.2788060744603475,0.5659294923146566
25,2.5118864315095824,221.27533501068552,214.122418222164,220.50108737116216,213.09838584558292,98.05466666666666,98.6536,0.2790191570917765,0.5661919275919597
25,3.1622776601683795,225.2783599857829,216.51432386811743,224.57262300494224,215.3768924473886,98.26306666666667,99.0219,0.2789650519688924,0.5603976090749104
25,3.981071705534973,230.154883796372,219.73996333151737,229.87164045198807,218.3401629956347,98.3319,99.24199999999998,0.278875986735026,0.5610894838968913
25,5.011872336272725,235.9359172498656,223.63890433805028,236.5672489247736,222.12895724831145,98.4259,99.34976666666664,0.2789412895838419,0.5559952576955159
25,6.309573444801936,242.6388425524237,228.652324789979,244.8121974797245,227.5829328441206,98.64203333333332,99.57953333333332,0.2778162797292073,0.5562731424967448
25,7.943282347242821,250.2102268413832,234.28606958036812,250.1837962691505,233.82354759052515,98.75790000000002,98.8548,0.2769529898961385,0.6687886476516723
25,10.0,258.57857767429545,240.44200098571716,258.53039172316494,240.03902758402745,99.05083333333336,99.02586666666666,0.2756745735804239,0.5988470315933228
50,0.0,206.13551843503583,208.3687262875698,205.6474592869454,208.54380201839652,88.50833333333335,88.53156666666665,0.3232720216115315,1.2768526156743367
50,0.001,206.14184651280132,208.36617585634048,205.6537844714186,208.5399907379348,88.52023333333334,88.54486666666666,0.3243122895558675,1.2479128122329712
50,0.0012589254117941,206.14348502266364,208.3655175039183,205.65542223287176,208.53900551251732,88.52329999999999,88.54736666666668,0.3243515809377034,1.2479132890701294
50,0.0015848931924611,206.1455477900525,208.36468981435868,205.65748405769983,208.53776626437332,88.52749999999999,88.5516,0.3243894179662068,1.2521670579910278
50,0.0019952623149688,206.14814466934823,208.3636495931204,205.6600800527364,208.5365697087696,88.53303333333335,88.5586,0.3246338208516439,1.2480759064356486
50,0.0025118864315095,206.151413960967,208.36234268706784,205.66334754947584,208.53461078973777,88.54016666666666,88.56566666666667,0.3247507015864054,1.2481488386789958
50,0.0031622776601683,206.1555297779005,208.36070172257087,205.66746146927795,208.53214930735416,88.54803333333331,88.57406666666667,0.3237881422042846,1.249933648109436
50,0.0039810717055349,206.16071132030385,208.35864247740605,205.6726409231266,208.52905763515136,88.5585,88.58473333333332,0.3244893471399943,1.24804527759552
50,0.0050118723362727,206.16723455256744,208.3560587909338,205.67916119215536,208.5248149531264,88.57119999999999,88.607,0.3242461681365967,1.2510375340779625
50,0.0063095734448019,206.17544690554888,208.3528211426572,205.6873692469763,208.5199474131038,88.5879,88.6232,0.3242890834808349,1.2471999009450276
50,0.0079432823472428,206.18578578823744,208.34877106003225,205.6977036154311,208.51384479589768,88.60893333333333,88.64276666666666,0.3242925405502319,1.247954289118449
50,0.01,206.19880189760428,208.34371137271,205.71071322039683,208.50626843936803,88.63553333333333,88.6739,0.3246329307556152,1.248323917388916
50,0.0125892541179416,206.2151886059605,208.3374042398777,205.72708404495876,208.4967247008066,88.6657,88.70863333333332,0.3249897956848144,1.242443561553955
50,0.0158489319246111,206.23581886903568,208.329562575856,205.7476654778791,208.48469591707908,88.70789999999998,88.76403333333332,0.3242718458175659,1.2314072211583456
50,0.0199526231496888,206.2617917583198,208.31985017461437,205.77362535149007,208.46993702681547,88.7581,88.81486666666666,0.32485032081604,1.2339895884195964
50,0.0251188643150958,206.29449111842123,208.307871382588,205.80626101875424,208.45135596519688,88.82260000000001,88.88046666666668,0.3248201767603556,1.224258820215861
50,0.0316227766016837,206.3356594769727,208.293193662622,205.84740542019924,208.4287964246358,88.90196666666667,88.9592,0.3246252536773681,1.2161009550094604
50,0.0398107170553497,206.38749106139431,208.2753422123224,205.89031104539148,208.40108703203217,89.00180000000002,89.05563333333335,0.3242224931716919,1.2101263920466103
50,0.0501187233627272,206.452749154674,208.25381227311468,205.9555332365649,208.3671358687118,89.12336666666666,89.18599999999999,0.3244341293970744,1.2134614308675131
50,0.0630957344480193,206.5349155779935,208.22827234075692,206.0376531055193,208.3263091994869,89.2792,89.344,0.3249551296234131,1.2112473487854003
50,0.0794328234724281,206.6383732305457,208.1983481210989,206.1410063251205,208.27763859665856,89.47380000000001,89.54220000000001,0.3244878133138021,1.209484624862671
50,0.1,206.7686380863552,208.16144726236627,206.2702384237876,208.22057956831367,89.71223333333332,89.77069999999999,0.3246885458628336,1.1860827922821044
50,0.1258925411794167,206.9326668856588,208.12410641479295,206.43352028264087,208.1555490285909,90.01193333333332,90.07553333333333,0.3248663345972697,1.1924573580423992
50,0.1584893192461114,207.13922602551096,208.08638173778917,206.6375464010148,208.0820693686352,90.37380000000002,90.4402,0.3249626080195109,1.1826016187667847
50,0.199526231496888,207.3993689059113,208.05054065062205,206.8845845988212,208.0044793361957,90.82053333333332,90.89966666666668,0.3250488440195719,1.149573858579
50,0.2511886431509582,207.7270213737017,208.02528703343836,207.21087710762825,207.9310970701696,91.35823333333332,91.45106666666668,0.3246610562006632,1.1097883701324462
50,0.3162277660168379,208.1397368379953,208.02404933924592,207.61141993773177,207.87209487648133,92.00583333333331,92.09236666666663,0.3252187252044677,1.0643755833307902
50,0.3981071705534973,208.6596386675242,208.06120302826375,208.10652759647343,207.84734508481984,92.7875,92.8367,0.325326410929362,1.0082317193349202
50,0.5011872336272725,209.31472986474608,208.16701966487196,208.73860075382316,207.8850151163534,93.64283333333331,93.6769,0.3257311105728149,0.9892557621002196
50,0.6309573444801936,210.14033352753572,208.378671718754,209.28974386604608,208.01684426125425,94.6013,93.71953333333332,0.3255236387252808,1.0636119524637857
50,0.7943282347242822,211.1810328333515,208.7450144119122,210.26689610089923,208.21838459484405,95.59613333333331,94.84586666666668,0.3259684483210245,1.0111463864644368
50,1.0,212.4927866480724,209.29932735421156,211.54838242351212,208.63331614020564,96.5792,96.0583,0.3263312498728434,0.9810625712076824
50,1.2589254117941675,214.14698268849045,210.091635959484,213.13296711381736,209.25421987503205,97.44006666666664,96.5407,0.3260356744130452,0.91985658009847
