Historical_N,omega,epsilon_N,simulation_id,n_estimators,max_depth,Pred_MSE,Train_Cost,Test_Cost,Service_Level,Time
25,0.0,0,3,50,10,0.0,202.71522668143092,212.1258448381794,82.5,0.27917981147766113
25,0.0,0,3,50,15,0.0,202.71522668143092,212.1258448381794,82.5,0.27881813049316406
25,0.0,0,3,100,5,0.0,202.71522668143092,212.1258448381794,82.5,0.27896618843078613
25,0.0,0,3,100,10,0.0,202.71522668143092,212.1258448381794,82.5,0.2806854248046875
25,0.0,0,3,100,15,0.0,202.71522668143092,212.1258448381794,82.5,0.28019213676452637
25,0.0,0,3,150,5,0.0,202.71522668143092,212.1258448381794,82.5,0.3020949363708496
25,0.0,0,3,150,10,0.0,202.71522668143092,212.1258448381794,82.5,0.2799677848815918
25,0.0,0,3,150,15,0.0,202.71522668143092,212.1258448381794,82.5,0.2802543640136719
25,0.0,0,4,10,5,0.0,208.445137642832,207.83110544703277,93.192,0.2776918411254883
25,0.0,0,4,10,10,0.0,208.445137642832,207.83110544703277,93.192,0.27969861030578613
25,0.0,0,4,10,15,0.0,208.445137642832,207.83110544703277,93.192,0.28009963035583496
25,0.0,0,4,20,5,0.0,208.445137642832,207.83110544703277,93.192,0.27840518951416016
25,0.0,0,4,20,10,0.0,208.445137642832,207.83110544703277,93.192,0.2785153388977051
25,0.0,0,4,20,15,0.0,208.445137642832,207.83110544703277,93.192,0.2808353900909424
25,0.0,0,4,30,5,0.0,208.445137642832,207.83110544703277,93.192,0.282132625579834
25,0.0,0,4,30,10,0.0,208.445137642832,207.83110544703277,93.192,0.2802090644836426
25,0.0,0,4,30,15,0.0,208.445137642832,207.83110544703277,93.192,0.28136658668518066
25,0.0,0,4,40,5,0.0,208.445137642832,207.83110544703277,93.192,0.28057360649108887
25,0.0,0,4,40,10,0.0,208.445137642832,207.83110544703277,93.192,0.2769174575805664
25,0.0,0,4,40,15,0.0,208.445137642832,207.83110544703277,93.192,0.2802925109863281
25,0.0,0,4,50,5,0.0,208.445137642832,207.83110544703277,93.192,0.28033447265625
25,0.0,0,4,50,10,0.0,208.445137642832,207.83110544703277,93.192,0.2767171859741211
25,0.0,0,4,50,15,0.0,208.445137642832,207.83110544703277,93.192,0.2771263122558594
25,0.0,0,4,100,5,0.0,208.445137642832,207.83110544703277,93.192,0.2793142795562744
25,0.0,0,4,100,10,0.0,208.445137642832,207.83110544703277,93.192,0.2793545722961426
25,0.0,0,4,100,15,0.0,208.445137642832,207.83110544703277,93.192,0.2814199924468994
25,0.0,0,4,150,5,0.0,208.445137642832,207.83110544703277,93.192,0.27657651901245117
25,0.0,0,4,150,10,0.0,208.445137642832,207.83110544703277,93.192,0.27964067459106445
25,0.0,0,4,150,15,0.0,208.445137642832,207.83110544703277,93.192,0.27948546409606934
25,0.0,0,5,10,5,0.0,204.65788800428507,209.8349603758032,83.837,0.2811613082885742
25,0.0,0,5,10,10,0.0,204.65788800428507,209.8349603758032,83.837,0.2801082134246826
25,0.0,0,5,10,15,0.0,204.65788800428507,209.8349603758032,83.837,0.2788515090942383
25,0.0,0,5,20,5,0.0,204.65788800428507,209.8349603758032,83.837,0.2774925231933594
25,0.0,0,5,20,10,0.0,204.65788800428507,209.8349603758032,83.837,0.2811596393585205
25,0.0,0,5,20,15,0.0,204.65788800428507,209.8349603758032,83.837,0.27680301666259766
25,0.0,0,5,30,5,0.0,204.65788800428507,209.8349603758032,83.837,0.2775084972381592
25,0.0,0,5,30,10,0.0,204.65788800428507,209.8349603758032,83.837,0.27786970138549805
25,0.0,0,5,30,15,0.0,204.65788800428507,209.8349603758032,83.837,0.2807126045227051
25,0.0,0,5,40,5,0.0,204.65788800428507,209.8349603758032,83.837,0.2799661159515381
25,0.0,0,5,40,10,0.0,204.65788800428507,209.8349603758032,83.837,0.280559778213501
25,0.0,0,5,40,15,0.0,204.65788800428507,209.8349603758032,83.837,0.2786421775817871
25,0.0,0,5,50,5,0.0,204.65788800428507,209.8349603758032,83.837,0.27858829498291016
25,0.0,0,5,50,10,0.0,204.65788800428507,209.8349603758032,83.837,0.28444528579711914
25,0.0,0,5,50,15,0.0,204.65788800428507,209.8349603758032,83.837,0.27835941314697266
25,0.0,0,5,100,5,0.0,204.65788800428507,209.8349603758032,83.837,0.27809572219848633
25,0.0,0,5,100,10,0.0,204.65788800428507,209.8349603758032,83.837,0.2781105041503906
25,0.0,0,5,100,15,0.0,204.65788800428507,209.8349603758032,83.837,0.27876853942871094
25,0.0,0,5,150,5,0.0,204.65788800428507,209.8349603758032,83.837,0.27846765518188477
25,0.0,0,5,150,10,0.0,204.65788800428507,209.8349603758032,83.837,0.280104398727417
25,0.0,0,5,150,15,0.0,204.65788800428507,209.8349603758032,83.837,0.2780568599700928
25,0.0,0,6,10,5,0.0,207.23179951158642,211.38028638666455,89.119,0.2775452136993408
25,0.0,0,6,10,10,0.0,207.23179951158642,211.38028638666455,89.119,0.278900146484375
25,0.0,0,6,10,15,0.0,207.23179951158642,211.38028638666455,89.119,0.2766990661621094
25,0.0,0,6,20,5,0.0,207.23179951158642,211.38028638666455,89.119,0.27967071533203125
25,0.0,0,6,20,10,0.0,207.23179951158642,211.38028638666455,89.119,0.27831292152404785
25,0.0,0,6,20,15,0.0,207.23179951158642,211.38028638666455,89.119,0.2797122001647949
25,0.0,0,6,30,5,0.0,207.23179951158642,211.38028638666455,89.119,0.279766321182251
